exchange,name,token,trading_symbol,lot_size,tick_size
NSE,JYOTHYLAB,15146,JYOTHYLAB-EQ,1,0.05
NSE,JWL,20224,JWL-EQ,1,0.05
NSE,KEYFINSERV,9505,KEYFINSERV-BE,1,0.05
NSE,JUSTDIAL,29962,JUSTDIAL-EQ,1,0.05
NSE,JUBLPHARMA,3637,JUBLPHARMA-EQ,1,0.05
NSE,JUBLINGREA,2783,JUBLINGREA-EQ,1,0.05
NSE,JUBLINDS,21541,JUBLINDS-EQ,1,0.05
NSE,JUBLFOOD,18096,JUBLFOOD-EQ,1,0.05
NSE,JTLIND,7287,JTLIND-EQ,1,0.01
NSE,JTEKTINDIA,3237,JTEKTINDIA-EQ,1,0.01
NSE,JUNIPER,22824,JUNIPER-EQ,1,0.05
NSE,JIWANRAM,18558,JIWANRAM-SM,6000,0.05
NSE,KFINTECH,13359,KFINTECH-EQ,1,0.05
NSE,KHAICHEM,896,KHAICHEM-EQ,1,0.01
NSE,KSHITIJPOL,10407,KSHITIJPOL-EQ,1,0.01
NSE,KSCL,14972,KSCL-EQ,1,0.05
NSE,KSB,1949,KSB-EQ,1,0.05
NSE,KRYSTAL,23175,KRYSTAL-EQ,1,0.05
NSE,KRSNAA,5359,KRSNAA-EQ,1,0.05
NSE,KROSS,25252,KROSS-EQ,1,0.01
NSE,KRONOX,24025,KRONOX-EQ,1,0.01
NSE,KRN,25643,KRN-EQ,1,0.01
NSE,KRITINUT,11440,KRITINUT-BE,1,0.01
NSE,KRITIKA,9296,KRITIKA-BE,1,0.01
NSE,KRITI,6420,KRITI-BE,1,0.01
NSE,KRISHNADEF,8789,KRISHNADEF-ST,500,0.05
NSE,KRISHIVAL,8671,KRISHIVAL-SM,500,0.05
NSE,KRISHCA,16133,KRISHCA-SM,500,0.05
NSE,KRISHANA,12847,KRISHANA-EQ,1,0.01
NSE,KSL,18889,KSL-EQ,1,0.05
NSE,KRIDHANINF,11480,KRIDHANINF-EQ,1,0.01
NSE,KSOLVES,11060,KSOLVES-EQ,1,0.05
NSE,KTL,22784,KTL-ST,3000,0.05
NSE,LAXMICOT,6568,LAXMICOT-EQ,1,0.01
NSE,LAWSIKHO,22468,LAWSIKHO-SM,500,0.05
NSE,LAURUSLABS,19234,LAURUSLABS-EQ,1,0.05
NSE,LATTEYS,15848,LATTEYS-BE,1,0.01
NSE,LATENTVIEW,6818,LATENTVIEW-EQ,1,0.05
NSE,LASA,21723,LASA-BE,1,0.01
NSE,LAOPALA,14423,LAOPALA-EQ,1,0.05
NSE,LANDMARK,13276,LANDMARK-EQ,1,0.05
NSE,LANCORHOL,23027,LANCORHOL-EQ,1,0.01
NSE,LAMBODHARA,6407,LAMBODHARA-EQ,1,0.01
NSE,LALPATHLAB,11654,LALPATHLAB-EQ,1,0.05
NSE,LAL,14929,LAL-BE,1,0.01
NSE,LAKSHYA,25863,LAKSHYA-ST,800,0.05
NSE,LAGNAM,5865,LAGNAM-EQ,1,0.01
NSE,KUANTUM,13870,KUANTUM-EQ,1,0.01
NSE,KTKBANK,8054,KTKBANK-EQ,1,0.01
NSE,KRBL,10577,KRBL-EQ,1,0.05
NSE,KPRMILL,14912,KPRMILL-EQ,1,0.05
NSE,KPITTECH,9683,KPITTECH-EQ,1,0.05
NSE,KKCL,13381,KKCL-EQ,1,0.05
NSE,KITEX,28899,KITEX-EQ,1,0.05
NSE,KIRLPNU,15180,KIRLPNU-EQ,1,0.05
NSE,KIRLOSIND,19025,KIRLOSIND-EQ,1,0.05
NSE,KIRLOSENG,20936,KIRLOSENG-EQ,1,0.05
NSE,KIRLOSBROS,18581,KIRLOSBROS-EQ,1,0.05
NSE,KIRIINDUS,16639,KIRIINDUS-EQ,1,0.05
NSE,KIOCL,19126,KIOCL-EQ,1,0.05
NSE,KINGFA,18944,KINGFA-EQ,1,0.05
NSE,KIMS,4847,KIMS-EQ,1,0.05
NSE,KILITCH,19937,KILITCH-EQ,1,0.05
NSE,KICL,21119,KICL-EQ,1,0.05
NSE,KHFM,9570,KHFM-SM,3100,0.05
NSE,KHANDSE,9641,KHANDSE-EQ,1,0.01
NSE,KHAITANLTD,9582,KHAITANLTD-BE,1,0.01
NSE,KKVAPOW,17781,KKVAPOW-SM,156,0.05
NSE,KLL,21186,KLL-SM,1600,0.05
NSE,KMSUGAR,14667,KMSUGAR-EQ,1,0.01
NSE,KNAGRI,8606,KNAGRI-ST,800,0.05
NSE,KPIL,1814,KPIL-EQ,1,0.05
NSE,KPIGREEN,5110,KPIGREEN-BE,1,0.05
NSE,KOTYARK,6441,KOTYARK-SM,100,0.05
NSE,KOTHARIPRO,6808,KOTHARIPRO-BE,1,0.01
NSE,KOTHARIPET,4594,KOTHARIPET-EQ,1,0.01
